uid,variant
67329,control
45849,control
50805,control
91495,control
19936,test
32342,control
98892,control
82339,control
10847,test
30080,test
95371,control
73980,control
98852,control
62711,test
91527,control
26770,test
53109,test
59143,test
93842,test
75182,test
65479,test
79397,control
43215,control
20581,test
78140,test
16947,test
65557,control
59847,control
13807,control
97589,test
48009,test
90306,control
86425,test
98799,control
97594,control
81410,test
40837,control
29452,test
37767,test
23669,control
93897,test
25749,control
62442,control
74213,test
14228,test
20309,test
95216,control
85646,control
71104,control
84712,control
10197,test
28959,test
99301,test
77128,test
89345,control
37111,control
54478,test
99241,test
43296,test
12856,test
13511,test
77788,control
11981,control
49310,test
48075,control
50815,control
91093,control
50760,control
85064,test
16402,test
32568,test
22739,control
79574,control
62558,test
78267,control
69764,control
66792,test
64933,control
22275,control
63260,control
47243,test
93595,control
15148,test
91416,control
60276,test
15128,control
39532,control
90508,test
77394,control
77245,test
50606,control
80361,control
54902,test
63907,test
81088,test
83856,control
58092,control
85730,control
18497,control
25550,test
38906,control
41066,control
48546,control
65319,test
17179,test
33007,control
36569,control
57361,control
66072,control
62453,control
51783,test
61705,control
76330,test
50254,control
78555,test
30301,test
47000,test
83810,control
63368,control
37931,control
83071,control
88586,test
39364,test
79983,control
57931,test
84853,control
96248,control
30275,test
25494,test
61509,test
88165,control
37225,control
70545,control
15539,test
10609,test
53902,test
58176,control
21374,test
20346,control
86409,control
49787,control
20666,control
90890,control
67661,test
92360,test
26316,control
56877,test
46029,test
58641,control
44196,test
90585,test
58404,control
40946,test
88416,control
40196,control
94601,control
78653,control
38675,test
63341,test
73628,test
83333,control
81116,control
12149,control
45319,test
69499,control
50346,control
54727,control
12089,control
77469,test
63762,test
66378,test
47698,control
83997,control
33299,control
28731,control
90845,control
30130,control
16438,control
85099,test
86542,test
16477,control
47075,control
75823,test
22618,control
49172,control
70935,test
30582,test
92419,control
92726,test
22766,control
81609,control
36946,test
98419,test
15046,control
87988,test
43167,test
18658,control
31328,control
59444,test
85323,test
26473,test
81500,test
63584,control
42840,test
54231,test
56786,test
93374,test
40483,test
69166,control
73451,control
30663,test
61974,control
59698,test
95444,control
13052,control
73446,test
63648,control
79036,control
80117,test
31493,control
10689,control
70792,test
57783,control
16990,control
25737,test
54370,control
21071,control
21147,control
72204,test
68999,control
29628,control
50893,control
13911,test
99437,test
76317,control
26332,test
50890,control
87454,control
67369,control
39586,test
93124,test
24947,test
91631,control
21465,control
77274,test
81025,test
33791,test
97818,control
88883,test
22887,test
60342,test
15595,test
41107,control
53136,control
98121,test
85136,test
42253,control
39061,test
84581,control
46448,test
39108,test
28933,test
30420,test
60460,test
67934,control
15995,control
42901,control
90563,test
97435,test
65632,test
49128,test
24918,control
57121,test
41920,control
70810,test
45295,control
26679,test
60337,control
41712,control
26348,control
76245,control
87411,test
86575,control
90111,test
16338,test
76005,test
52858,control
83340,test
95132,test
51937,test
32426,test
42329,test
32773,control
66956,control
98883,test
15212,control
81320,control
23428,control
94968,control
80912,test
57710,control
73695,control
22031,test
61879,test
72557,test
18522,test
76736,test
40943,control
98061,control
54321,control
43511,control
76953,control
11230,test
83247,test
55810,control
74275,test
56362,control
19186,test
21060,test
16476,test
96050,test
29077,test
40443,control
28058,test
18837,test
11473,control
28356,test
96585,test
22504,test
98269,test
39490,test
67426,control
62765,test
51506,control
31182,test
62812,test
95069,test
63023,test
15632,test
47310,test
33988,control
16496,control
17578,test
98853,test
45757,control
14318,control
56371,test
19043,control
46727,control
97921,test
32000,control
21013,test
36743,test
51871,test
55620,control
58388,test
55831,test
58239,test
29578,control
96201,control
96786,test
11900,test
70299,control
73584,control
56965,test
76139,test
76126,test
87441,test
47785,control
86787,control
58105,test
53433,test
23718,test
86136,control
55882,test
32665,control
93719,test
77559,test
80839,control
38264,control
61303,test
67512,control
90766,control
26587,test
12894,test
42692,test
14680,control
30267,test
28140,test
73203,control
46329,control
92093,control
37838,test
78258,test
17221,control
42364,control
21461,test
63502,control
17051,test
90993,test
72790,control
73276,control
69728,control
52201,test
52385,control
82120,test
99497,control
26580,test
15486,control
16661,control
32423,control
72608,test
76931,test
59566,test
32467,control
53518,control
29549,control
59465,control
10831,control
14758,control
88048,control
97215,control
54926,control
63685,control
39799,control
63753,test
18233,control
79842,test
17550,control
72300,test
91252,test
97911,test
76840,control
21647,control
88674,control
13639,control
34182,test
53514,control
52682,test
32745,test
70468,test
99040,test
34534,test
44648,control
86849,control
14783,test
16413,control
85545,control
90924,control
48603,control
70787,control
12040,test
56516,test
28930,test
13722,test
27550,test
50108,control
51345,control
99401,control
55019,control
60586,control
18568,control
22987,test
52070,test
63485,control
98288,control
84091,control
54806,test
27991,test
82150,test
27929,test
35165,control
75450,test
13098,test
35718,test
16330,control
71002,test
11692,control
93882,test
16208,control
67581,test
73652,control
38729,control
18542,control
17670,control
70263,control
19575,control
12948,control
98717,test
83497,control
43546,test
45042,test
79072,test
88367,test
93437,control
36866,test
43738,control
30136,test
11061,test
26610,control
97871,test
26553,test
28667,test
94636,control
38521,test
99426,test
94697,control
74859,test
94442,control
64915,test
66160,test
85132,test
11624,test
19697,control
90519,control
71512,control
80177,control
46557,control
87157,test
47051,control
76817,test
19802,control
36329,test
81782,control
24429,control
69973,test
23289,test
37667,control
24233,test
27019,control
75245,test
65152,control
36235,control
38895,control
74673,test
43432,test
73481,control
60949,control
19362,test
11104,test
49963,control
20265,test
50775,test
94852,test
28985,control
58192,control
37250,control
55216,test
76559,test
46106,control
26518,control
30948,test
79333,test
97407,control
69806,test
61218,control
17065,test
14885,test
87652,test
35820,test
27350,control
49915,control
17253,test
21949,test
53410,test
62791,test
82973,test
28268,test
68693,control
33122,control
35805,test
51338,test
73428,test
13735,control
35218,test
53707,test
68542,control
75960,control
44855,test
97328,test
46969,control
28155,control
18154,test
46296,control
85663,test
96962,test
89197,test
94680,control
99784,control
78025,control
59726,test
44114,test
22372,control
16162,test
62295,test
70986,test
74263,test
59182,test
29109,control
60928,test
82527,control
23402,control
16274,control
89841,control
98746,test
68457,control
81998,control
53024,control
62862,control
37692,control
69550,test
89281,control
54065,test
59787,test
33053,control
57486,control
92976,test
91164,test
97674,test
40836,control
41745,control
41996,test
97732,test
38334,control
43966,control
66918,test
56778,control
49313,control
16949,control
23213,test
95022,control
74452,test
52939,test
98665,control
12012,test
47706,control
64000,control
51444,control
42147,test
26342,test
92250,test
56914,control
88857,test
38241,test
45747,control
46972,test
97837,test
16141,test
50630,test
26859,control
55398,control
30173,control
76603,test
82449,test
67220,control
86863,control
96349,test
68844,test
72037,test
13472,test
46982,control
81221,test
29166,control
90123,control
44489,test
68814,control
58798,control
70058,test
57505,control
11821,control
46570,control
33889,test
52831,control
43302,test
81313,control
25792,test
89359,test
24614,test
79852,test
31672,control
52372,control
48133,test
28536,test
34210,test
27540,test
25640,control
47068,test
66805,test
45171,test
11564,control
90626,test
10036,test
51269,control
85858,control
70185,test
25637,control
65486,control
56651,control
65141,test
13301,control
88669,control
85062,test
21395,test
85555,control
54119,control
35826,test
81222,test
61297,control
75783,control
81450,test
69214,control
30885,test
14655,test
26608,control
22339,test
33376,control
38379,control
83090,test
56607,control
50978,test
74744,control
28636,control
72248,test
67628,test
21087,control
80836,control
26153,control
75261,control
23256,control
39056,test
52290,test
84604,control
15636,control
53276,control
56090,control
80974,test
61154,control
54081,test
27164,test
50075,test
39756,test
93061,test
31617,test
50098,test
65229,control
23113,control
83144,control
12942,test
30909,test
33797,test
42961,control
19164,control
19543,test
61290,test
39949,control
20097,test
72173,control
45118,control
51686,test
12876,control
93406,control
83102,test
15776,test
18820,control
86902,control
16379,control
22082,test
48514,test
33495,control
24315,test
58896,test
26857,test
91194,control
22998,control
14562,test
83564,test
27622,test
11418,test
86793,test
72517,test
94587,control
58304,test
80276,control
36968,test
95591,test
71759,test
61292,test
76422,control
26113,test
45759,control
57597,test
64952,control
26072,control
60642,test
93926,control
46679,control
29225,control
60066,control
70355,control
50481,control
88921,test
85600,control
50392,control
65954,test
43671,test
68613,test
26877,test
24817,control
44227,control
82349,test
24982,test
89119,test
37066,test
25298,test
29570,control
42958,test
31784,control
45109,control
18023,test
95197,test
32650,test
71568,test
38461,control
63549,control
76518,test
99502,control
65158,control
47965,control
33424,test
11539,control
72912,test
61989,control
97086,test
28527,control
35510,control
52725,test
30087,test
98167,test
91080,control
32047,control
35654,control
74162,test
12548,test
69387,control
97687,test
25944,control
28821,test
69589,control
93094,control
95700,control
99328,control
77109,control
17558,control
71174,control
95331,control
90025,control
58752,test
20241,test
88422,test
86845,control
99039,control
51027,test
81011,test
44702,test
37948,test
79810,control
14105,control
55357,control
19467,control
45094,control
47620,control
64885,control
72812,control
47359,test
54918,test
99914,test
10530,control
29057,test
65025,control
11360,control
53955,control
96495,test
15769,test
52318,control
91185,test
45890,test
10604,control
61497,control
25699,control
85886,control
63274,control
14194,test
47802,control
36003,control
69029,control
39216,control
19264,test
39874,control
39975,control
28673,test
82553,control
78240,test
12265,test
88919,test
97016,test
43814,control
42465,control
88302,control
35606,test
21991,control
58032,control
80227,test
17715,control
93014,test
89058,test
59540,control
65328,test
34908,control
32429,control
75404,control
50921,test
56498,test
92224,test
45127,test
26425,test
68456,test
42201,control
46477,test
40543,test
79133,test
83321,control
44579,control
19816,test
44541,test
34633,test
28644,control
43393,test
22320,control
55799,test
37786,control
99540,control
17527,control
78006,test
41172,control
61340,control
55088,test
74186,test
75255,control
20791,control
85791,control
51458,test
19453,test
91577,test
14944,test
88675,test
11901,test
13766,test
23675,control
76010,test
10170,control
56095,test
62279,test
58443,control
10805,test
71777,test
51820,test
48178,test
13704,control
67026,test
27581,control
63586,control
93706,control
68260,test
80400,test
85800,test
87600,control
21191,test
90907,test
91377,control
33662,test
56649,control
85248,test
42994,control
64712,test
24503,test
72538,test
21969,test
49374,test
24202,control
20133,test
81533,test
33484,control
21001,test
78359,test
90130,test
54365,control
69840,test
63990,control
39858,control
46036,test
20754,test
94472,test
44423,test
47109,control
36835,control
69452,control
49578,test
40686,control
30381,test
36074,control
68476,control
55219,control
38277,test
44002,test
87863,control
20725,test
76446,control
78613,test
68800,control
65683,test
38727,control
58401,control
20886,test
81883,control
40516,test
82918,control
71205,control
72944,control
67475,test
32444,test
13631,control
55022,test
17427,test
37416,control
69578,control
25892,test
25997,test
42862,test
15078,control
10488,control
11543,test
43477,control
33412,test
68675,test
13081,test
20712,test
75581,control
87126,test
32850,test
37231,control
12185,test
28974,control
57069,test
61394,test
23802,test
17367,control
70938,test
61441,control
89441,test
46019,control
90644,test
15302,control
19136,test
18367,control
94313,control
21410,test
31741,test
73868,control
13160,test
17593,control
77520,control
73487,test
33855,control
37789,control
74044,control
52259,control
17204,test
52031,test
48170,test
63338,control
53762,test
17733,test
90214,control
23045,control
35938,test
15387,test
84636,test
99024,test
93633,control
79985,test
59194,test
98727,test
89870,test
59065,test
41950,test
69893,control
17924,test
37483,test
66681,test
91291,control
61409,test
87171,test
43837,control
57613,test
39010,control
77710,control
62644,test
38878,control
75191,control
91386,control
85812,test
83023,test
74494,control
84625,control
40215,control
29121,test
94185,control
84138,control
90565,control
76917,test
76623,control
28635,control
38156,control
55027,test
85159,test
10949,control
87426,test
55981,test
27195,control
62476,control
36658,test
30636,test
39880,test
14901,control
30090,control
16761,test
44587,control
96976,test
44363,control
82651,test
88626,control
32434,test
79235,control
70569,test
70112,test
59038,control
93822,control
64463,control
17976,test
14191,test
95967,test
70805,control
77339,control
82599,control
99889,test
48272,control
40349,test
36843,control
53323,test
40661,control
87258,control
39237,control
23250,test
91812,control
98523,test
36098,test
21793,control
81892,control
34137,control
14819,control
57369,test
45143,test
57790,control
82776,test
76521,test
10465,control
90213,control
63065,test
35369,control
84146,control
72998,test
66741,control
30056,control
32096,test
89485,test
41783,control
65711,test
30276,test
92441,test
30638,test
77866,test
78608,test
77415,control
50947,control
38974,test
46176,control
92771,control
20926,control
34754,control
13204,control
82929,control
17533,control
95441,test
17125,test
29699,control
21808,control
72022,test
97082,test
47471,control
98794,control
66550,test
44757,test
59107,test
92274,control
79918,test
38509,test
39543,test
35817,control
93477,control
88799,control
81521,control
95535,test
73902,test
68490,test
97650,control
15773,control
71528,test
41187,test
97060,control
64133,test
81740,test
21720,test
88710,test
20902,control
80578,control
47742,control
93728,test
36861,test
94059,test
64192,control
26516,test
72024,control
84514,test
69250,control
33032,control
31234,control
76654,control
95423,test
20296,test
48695,control
92539,test
64466,test
70097,test
75298,control
44230,test
41289,control
59228,control
43131,test
68994,control
50854,control
40173,control
47347,control
62107,test
18311,test
95083,test
19422,test
12297,test
81433,test
96764,test
44696,control
38813,control
93017,test
81275,control
22382,test
83224,control
98651,control
43611,control
30098,test
52393,control
50291,control
67980,control
18691,control
75220,control
35926,test
17663,control
95248,test
75794,test
49444,test
85794,test
38215,test
73938,test
32245,control
74937,test
75611,control
20156,test
99392,test
18147,control
36424,control
15987,control
32961,test
58891,test
35269,control
55199,control
95611,test
71684,control
89909,control
17667,control
73007,control
75145,test
15971,control
88132,test
90154,control
78018,test
61696,control
32193,control
46540,control
42589,control
54441,control
51290,test
65211,test
49036,test
75163,test
20385,control
47973,control
65904,test
18765,control
54844,control
47572,control
59002,test
96726,test
74590,control
77288,control
55095,control
63069,control
65431,control
90978,control
88470,control
74242,test
97735,control
53067,control
15508,control
93659,test
61621,test
60836,control
91152,test
54495,control
10500,control
65922,test
57000,test
26765,control
66339,test
81739,control
98133,control
34002,control
92703,test
20688,control
22424,test
53366,control
60140,test
26646,test
49630,test
38978,test
59328,test
94908,control
77290,test
82652,test
59662,control
16685,test
99807,test
92317,test
18345,test
46996,test
80833,control
70142,test
53436,control
96064,test
33080,control
85808,control
20974,test
36295,test
29086,test
81995,control
67263,control
80644,control
55726,control
29362,control
97879,control
59849,test
53611,control
36665,test
31642,test
83052,test
41882,test
46978,test
23293,control
48330,control
99960,control
52141,test
13140,test
47258,control
93305,test
59498,control
90014,test
99820,test
92072,test
55375,test
32888,control
92602,control
87253,test
57590,test
68023,control
77935,control
53210,control
73371,test
25501,control
76392,test
58031,test
72947,test
90001,control
55983,control
90480,control
58004,test
10080,control
14728,control
83418,control
25770,test
75318,control
97878,control
84099,test
84807,test
31417,control
12390,test
56304,test
57406,test
50073,test
11098,test
19408,test
51601,control
52868,control
33945,test
82379,test
27437,control
26965,test
57863,test
88370,test
91077,test
64384,test
58852,control
30446,test
97035,test
19573,test
80534,test
27797,test
23615,control
18321,test
99446,test
47391,control
89728,control
29848,control
68803,test
74492,control
92734,test
93260,test
77327,control
44627,control
38312,control
79692,control
82855,test
84274,test
94516,test
90876,test
37791,control
51793,test
41801,test
95422,test
39792,test
81675,control
65175,control
64624,control
13336,test
62069,control
47174,test
81981,test
10343,test
12651,control
38981,test
99707,control
35653,control
95257,control
90169,test
15645,test
76927,control
56974,test
95194,control
70344,test
22006,control
30100,test
35527,test
98893,control
52134,test
58427,test
94851,control
36107,control
57657,control
65729,test
66584,control
29562,control
13506,control
54106,control
57668,control
10986,test
78900,control
25641,test
39933,test
19322,test
43965,test
32124,test
87425,control
35026,test
26334,control
57577,control
48911,test
15040,test
11469,test
58245,control
94760,test
81061,test
39658,test
21867,control
22103,control
11464,control
49603,test
27334,test
75830,control
48555,test
59224,test
30672,control
79742,test
94121,test
74166,test
76597,test
24224,control
76916,control
12147,test
67041,test
60605,test
65875,test
43789,control
79623,test
65091,test
28029,control
27129,control
87357,control
68442,control
99117,test
72938,control
68359,test
68356,control
77696,test
46153,test
72756,test
89727,test
87540,control
77385,test
23719,test
92847,test
58413,test
80053,control
56631,control
31361,control
59856,test
97448,test
30995,control
34682,control
77153,control
75949,control
79018,control
19240,test
56599,control
99561,test
92572,control
95944,test
57646,test
33772,test
72736,control
74835,control
32633,control
47873,test
14799,test
37087,control
52779,control
48512,control
85348,test
41453,test
68500,control
10339,control
26303,control
47577,control
14520,control
37163,test
44741,test
35084,test
73973,test
57389,control
34036,control
97312,test
99612,test
83835,control
41792,test
14081,test
25256,test
39966,control
29173,test
62875,test
24705,control
29965,control
75801,control
87622,test
17035,control
78776,control
13879,control
12655,control
75408,control
47575,control
35511,test
18132,test
71848,test
11648,test
61668,control
17633,test
18692,control
46227,control
19416,test
86058,control
26094,control
14079,control
43980,control
11566,control
10744,test
48454,test
81987,test
45641,test
83085,control
28665,control
55650,test
98889,control
41658,test
47045,test
41635,control
16424,control
80686,control
36924,test
10714,control
11562,control
97397,test
74865,control
73577,test
88782,control
90137,test
32513,test
85953,control
95972,control
23634,test
88904,test
67149,control
20504,control
72933,test
30828,test
93195,test
43722,test
10598,test
42258,test
32277,test
35506,control
38819,test
90122,test
24565,control
97611,control
59447,control
88134,control
35282,test
12228,control
29332,test
43416,control
84931,control
67550,control
50474,control
84972,test
10692,control
82392,test
91571,control
90237,control
80953,control
71283,control
79189,control
54993,control
56941,test
48427,test
44923,control
32491,test
69192,test
12796,test
27220,test
17285,test
69661,test
96833,control
12011,control
18912,control
25382,test
83155,test
35573,control
53023,test
63139,control
17954,control
19720,control
48210,control
92833,test
52092,control
10555,test
85850,control
94881,control
44381,test
34808,control
63101,control
52325,test
25996,test
13902,test
56243,control
20222,test
54796,test
24703,test
96577,test
81230,test
87585,control
70640,control
78814,test
84693,test
16201,control
65111,test
36618,control
92551,test
22544,control
82638,control
34915,test
80249,control
89782,control
42872,test
94921,control
51008,test
55267,test
23635,control
13753,control
13532,test
29897,test
66181,test
47836,test
71375,test
51828,control
31080,test
79845,control
66787,test
34649,test
10058,control
93316,control
63973,control
14260,test
39636,test
86851,test
37310,control
35398,control
95850,test
67970,test
34236,control
16056,test
39611,test
92398,test
87388,control
91391,control
60100,test
18058,test
15904,control
53571,test
74258,test
86982,control
23262,test
41957,test
38163,control
81920,control
10700,test
38500,control
58827,control
64147,control
80508,control
14235,control
12853,control
17581,control
49690,control
15910,test
11488,test
72168,test
56514,test
38147,test
48773,control
16467,test
22689,control
49150,test
70899,control
96619,control
71916,test
41316,test
65107,control
58136,test
36547,test
37104,control
35894,control
82510,control
98459,test
81037,control
75968,control
92886,control
54072,control
28283,test
52517,control
83241,test
10952,test
21126,control
10096,test
62873,control
56396,control
52604,control
58249,test
71714,test
14164,control
51950,test
47035,test
78154,test
88317,control
73338,test
33342,test
39749,test
77103,control
35748,test
92636,test
24216,control
31704,control
19957,control
87483,test
11205,control
85705,test
82044,control
75119,test
77970,test
33348,test
47480,test
14693,test
97211,control
10086,test
71518,test
13111,control
51768,test
96512,control
35406,control
16433,test
65829,control
83608,control
79675,control
12772,control
45665,control
39902,control
94510,test
53092,test
12070,test
51018,test
19160,control
43854,control
80641,control
56955,test
17311,test
72747,control
84381,test
41254,test
68474,control
97526,test
68747,control
60147,control
48287,test
99995,control
99472,control
40606,test
25568,control
54049,control
81548,test
45887,test
70622,test
86154,control
75184,test
23120,test
79247,test
76779,test
47599,test
13100,test
22263,control
60987,control
52706,test
92660,control
27218,control
48206,control
97614,test
48822,test
95021,control
72622,control
10888,control
67336,control
81281,control
83236,control
30927,control
19310,test
32410,test
47141,control
76014,test
50288,test
79628,test
88671,control
38080,control
20390,test
28500,control
31039,test
33034,control
88743,test
46402,test
17238,test
58120,control
69529,control
25141,test
43957,test
